Mental Health Disorder Group,ICD10_Code,Description
Substance-Related and Addictive Disorders,F1997,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia"
Substance-Related and Addictive Disorders,F19980,"Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder"
Substance-Related and Addictive Disorders,F19981,"Other psychoactive substance use, unspecified with psychoactive substance-induced sexual dysfunction"
Substance-Related and Addictive Disorders,F19982,"Other psychoactive substance use, unspecified with psychoactive substance-induced sleep disorder"
Substance-Related and Addictive Disorders,F19988,"Other psychoactive substance use, unspecified with other psychoactive substance-induced disorder"
Substance-Related and Addictive Disorders,F1999,"Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder"
Suicide or Self-Injury,R45851,Suicidal ideations
Suicide or Self-Injury,T1491,Suicide attempt
Suicide or Self-Injury,T1491XA,"Suicide attempt, initial encounter"
Suicide or Self-Injury,T1491XS,"Suicide attempt, sequela"
Suicide or Self-Injury,T360X2A,"Poisoning by penicillins, intentional self-harm, initial encounter"
Suicide or Self-Injury,T360X2S,"Poisoning by penicillins, intentional self-harm, sequela"
Suicide or Self-Injury,T361X2A,"Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T361X2S,"Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, sequela"
Suicide or Self-Injury,T362X2A,"Poisoning by chloramphenicol group, intentional self-harm, initial encounter"
Suicide or Self-Injury,T362X2S,"Poisoning by chloramphenicol group, intentional self-harm, sequela"
Suicide or Self-Injury,T363X2A,"Poisoning by macrolides, intentional self-harm, initial encounter"
Suicide or Self-Injury,T363X2S,"Poisoning by macrolides, intentional self-harm, sequela"
Suicide or Self-Injury,T364X2A,"Poisoning by tetracyclines, intentional self-harm, initial encounter"
Suicide or Self-Injury,T364X2S,"Poisoning by tetracyclines, intentional self-harm, sequela"
Suicide or Self-Injury,T365X2A,"Poisoning by aminoglycosides, intentional self-harm, initial encounter"
Suicide or Self-Injury,T365X2S,"Poisoning by aminoglycosides, intentional self-harm, sequela"
Suicide or Self-Injury,T366X2A,"Poisoning by rifampicins, intentional self-harm, initial encounter"
Suicide or Self-Injury,T366X2S,"Poisoning by rifampicins, intentional self-harm, sequela"
Suicide or Self-Injury,T367X2A,"Poisoning by antifungal antibiotics, systemically used, intentional self-harm, initial encounter"
Suicide or Self-Injury,T367X2S,"Poisoning by antifungal antibiotics, systemically used, intentional self-harm, sequela"
Suicide or Self-Injury,T368X2A,"Poisoning by other systemic antibiotics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T368X2S,"Poisoning by other systemic antibiotics, intentional self-harm, sequela"
Suicide or Self-Injury,T3692XA,"Poisoning by unspecified systemic antibiotic, intentional self-harm, initial encounter"
Suicide or Self-Injury,T3692XS,"Poisoning by unspecified systemic antibiotic, intentional self-harm, sequela"
Suicide or Self-Injury,T370X2A,"Poisoning by sulfonamides, intentional self-harm, initial encounter"
Suicide or Self-Injury,T370X2S,"Poisoning by sulfonamides, intentional self-harm, sequela"
Suicide or Self-Injury,T371X2A,"Poisoning by antimycobacterial drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T371X2S,"Poisoning by antimycobacterial drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T372X2A,"Poisoning by antimalarials and drugs acting on other blood protozoa, intentional self-harm, initial encounter"
Suicide or Self-Injury,T372X2S,"Poisoning by antimalarials and drugs acting on other blood protozoa, intentional self-harm, sequela"
Suicide or Self-Injury,T373X2A,"Poisoning by other antiprotozoal drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T373X2S,"Poisoning by other antiprotozoal drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T374X2A,"Poisoning by anthelminthics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T374X2S,"Poisoning by anthelminthics, intentional self-harm, sequela"
Suicide or Self-Injury,T375X2A,"Poisoning by antiviral drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T375X2S,"Poisoning by antiviral drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T378X2A,"Poisoning by other specified systemic anti-infectives and antiparasitics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T378X2S,"Poisoning by other specified systemic anti-infectives and antiparasitics, intentional self-harm, sequela"
Suicide or Self-Injury,T3792XA,"Poisoning by unspecified systemic anti-infective and antiparasitics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T3792XS,"Poisoning by unspecified systemic anti-infective and antiparasitics, intentional self-harm, sequela"
Suicide or Self-Injury,T380X2A,"Poisoning by glucocorticoids and synthetic analogues, intentional self-harm, initial encounter"
Suicide or Self-Injury,T380X2S,"Poisoning by glucocorticoids and synthetic analogues, intentional self-harm, sequela"
Suicide or Self-Injury,T381X2A,"Poisoning by thyroid hormones and substitutes, intentional self-harm, initial encounter"
Suicide or Self-Injury,T381X2S,"Poisoning by thyroid hormones and substitutes, intentional self-harm, sequela"
Suicide or Self-Injury,T382X2A,"Poisoning by antithyroid drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T382X2S,"Poisoning by antithyroid drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T383X2A,"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T383X2S,"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T384X2A,"Poisoning by oral contraceptives, intentional self-harm, initial encounter"
Suicide or Self-Injury,T384X2S,"Poisoning by oral contraceptives, intentional self-harm, sequela"
Suicide or Self-Injury,T385X2A,"Poisoning by other estrogens and progestogens, intentional self-harm, initial encounter"
Suicide or Self-Injury,T385X2S,"Poisoning by other estrogens and progestogens, intentional self-harm, sequela"
Suicide or Self-Injury,T386X2A,"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, intentional self-harm, initial encounter"
Suicide or Self-Injury,T386X2S,"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, intentional self-harm, sequela"
Suicide or Self-Injury,T387X2A,"Poisoning by androgens and anabolic congeners, intentional self-harm, initial encounter"
Suicide or Self-Injury,T387X2S,"Poisoning by androgens and anabolic congeners, intentional self-harm, sequela"
Suicide or Self-Injury,T38802A,"Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, initial encounter"
Suicide or Self-Injury,T38802S,"Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, sequela"
Suicide or Self-Injury,T38812A,"Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, initial encounter"
Suicide or Self-Injury,T38812S,"Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, sequela"
Suicide or Self-Injury,T38892A,"Poisoning by other hormones and synthetic substitutes, intentional self-harm, initial encounter"
Suicide or Self-Injury,T38892S,"Poisoning by other hormones and synthetic substitutes, intentional self-harm, sequela"
Suicide or Self-Injury,T38902A,"Poisoning by unspecified hormone antagonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,T38902S,"Poisoning by unspecified hormone antagonists, intentional self-harm, sequela"
Suicide or Self-Injury,T38992A,"Poisoning by other hormone antagonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,T38992S,"Poisoning by other hormone antagonists, intentional self-harm, sequela"
Suicide or Self-Injury,T39012A,"Poisoning by aspirin, intentional self-harm, initial encounter"
Suicide or Self-Injury,T39012S,"Poisoning by aspirin, intentional self-harm, sequela"
Suicide or Self-Injury,T39092A,"Poisoning by salicylates, intentional self-harm, initial encounter"
Suicide or Self-Injury,T39092S,"Poisoning by salicylates, intentional self-harm, sequela"
Suicide or Self-Injury,T391X2A,"Poisoning by 4-Aminophenol derivatives, intentional self-harm, initial encounter"
Suicide or Self-Injury,T391X2S,"Poisoning by 4-Aminophenol derivatives, intentional self-harm, sequela"
Suicide or Self-Injury,T392X2A,"Poisoning by pyrazolone derivatives, intentional self-harm, initial encounter"
Suicide or Self-Injury,T392X2S,"Poisoning by pyrazolone derivatives, intentional self-harm, sequela"
Suicide or Self-Injury,T39312A,"Poisoning by propionic acid derivatives, intentional self-harm, initial encounter"
Suicide or Self-Injury,T39312S,"Poisoning by propionic acid derivatives, intentional self-harm, sequela"
Suicide or Self-Injury,T39392A,"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, initial encounter"
Suicide or Self-Injury,T39392S,"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, sequela"
Suicide or Self-Injury,T394X2A,"Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, initial encounter"
Suicide or Self-Injury,T394X2S,"Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, sequela"
Suicide or Self-Injury,T398X2A,"Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, initial encounter"
Suicide or Self-Injury,T398X2S,"Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, sequela"
Suicide or Self-Injury,T3992XA,"Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, initial encounter"
Suicide or Self-Injury,T3992XS,"Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, sequela"
Suicide or Self-Injury,T400X2A,"Poisoning by opium, intentional self-harm, initial encounter"
Suicide or Self-Injury,T400X2S,"Poisoning by opium, intentional self-harm, sequela"
Suicide or Self-Injury,T401X2A,"Poisoning by heroin, intentional self-harm, initial encounter"
Suicide or Self-Injury,T401X2S,"Poisoning by heroin, intentional self-harm, sequela"
Suicide or Self-Injury,T402X2A,"Poisoning by other opioids, intentional self-harm, initial encounter"
Suicide or Self-Injury,T402X2S,"Poisoning by other opioids, intentional self-harm, sequela"
Suicide or Self-Injury,T403X2A,"Poisoning by methadone, intentional self-harm, initial encounter"
Suicide or Self-Injury,T403X2S,"Poisoning by methadone, intentional self-harm, sequela"
Suicide or Self-Injury,T404X2A,"Poisoning by other synthetic narcotics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T404X2S,"Poisoning by other synthetic narcotics, intentional self-harm, sequela"
Suicide or Self-Injury,T405X2A,"Poisoning by cocaine, intentional self-harm, initial encounter"
Suicide or Self-Injury,T405X2S,"Poisoning by cocaine, intentional self-harm, sequela"
Suicide or Self-Injury,T40602A,"Poisoning by unspecified narcotics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T40602S,"Poisoning by unspecified narcotics, intentional self-harm, sequela"
Suicide or Self-Injury,T40692A,"Poisoning by other narcotics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T40692S,"Poisoning by other narcotics, intentional self-harm, sequela"
Suicide or Self-Injury,T407X2A,"Poisoning by cannabis (derivatives), intentional self-harm, initial encounter"
Suicide or Self-Injury,T407X2S,"Poisoning by cannabis (derivatives), intentional self-harm, sequela"
Suicide or Self-Injury,T408X2A,"Poisoning by lysergide [LSD], intentional self-harm, initial encounter"
Suicide or Self-Injury,T408X2S,"Poisoning by lysergide [LSD], intentional self-harm, sequela"
Suicide or Self-Injury,T40902A,"Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm, initial encounter"
Suicide or Self-Injury,T40902S,"Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm, sequela"
Suicide or Self-Injury,T40992A,"Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, initial encounter"
Suicide or Self-Injury,T40992S,"Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, sequela"
Suicide or Self-Injury,T410X2A,"Poisoning by inhaled anesthetics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T410X2S,"Poisoning by inhaled anesthetics, intentional self-harm, sequela"
Suicide or Self-Injury,T411X2A,"Poisoning by intravenous anesthetics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T411X2S,"Poisoning by intravenous anesthetics, intentional self-harm, sequela"
Suicide or Self-Injury,T41202A,"Poisoning by unspecified general anesthetics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T41202S,"Poisoning by unspecified general anesthetics, intentional self-harm, sequela"
Suicide or Self-Injury,T41292A,"Poisoning by other general anesthetics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T41292S,"Poisoning by other general anesthetics, intentional self-harm, sequela"
Suicide or Self-Injury,T413X2A,"Poisoning by local anesthetics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T413X2S,"Poisoning by local anesthetics, intentional self-harm, sequela"
Suicide or Self-Injury,T4142XA,"Poisoning by unspecified anesthetic, intentional self-harm, initial encounter"
Suicide or Self-Injury,T4142XS,"Poisoning by unspecified anesthetic, intentional self-harm, sequela"
Suicide or Self-Injury,T415X2A,"Poisoning by therapeutic gases, intentional self-harm, initial encounter"
Suicide or Self-Injury,T415X2S,"Poisoning by therapeutic gases, intentional self-harm, sequela"
Suicide or Self-Injury,T420X2A,"Poisoning by hydantoin derivatives, intentional self-harm, initial encounter"
Suicide or Self-Injury,T420X2S,"Poisoning by hydantoin derivatives, intentional self-harm, sequela"
Suicide or Self-Injury,T421X2A,"Poisoning by iminostilbenes, intentional self-harm, initial encounter"
Suicide or Self-Injury,T421X2S,"Poisoning by iminostilbenes, intentional self-harm, sequela"
Suicide or Self-Injury,T422X2A,"Poisoning by succinimides and oxazolidinediones, intentional self-harm, initial encounter"
Suicide or Self-Injury,T422X2S,"Poisoning by succinimides and oxazolidinediones, intentional self-harm, sequela"
Suicide or Self-Injury,T423X2A,"Poisoning by barbiturates, intentional self-harm, initial encounter"
Suicide or Self-Injury,T423X2S,"Poisoning by barbiturates, intentional self-harm, sequela"
Suicide or Self-Injury,T424X2A,"Poisoning by benzodiazepines, intentional self-harm, initial encounter"
Suicide or Self-Injury,T424X2S,"Poisoning by benzodiazepines, intentional self-harm, sequela"
Suicide or Self-Injury,T425X2A,"Poisoning by mixed antiepileptics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T425X2S,"Poisoning by mixed antiepileptics, intentional self-harm, sequela"
Suicide or Self-Injury,T426X2A,"Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T426X2S,"Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T4272XA,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T4272XS,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T428X2A,"Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T428X2S,"Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm, sequela"
Suicide or Self-Injury,T43012A,"Poisoning by tricyclic antidepressants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T43012S,"Poisoning by tricyclic antidepressants, intentional self-harm, sequela"
Suicide or Self-Injury,T43022A,"Poisoning by tetracyclic antidepressants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T43022S,"Poisoning by tetracyclic antidepressants, intentional self-harm, sequela"
Suicide or Self-Injury,T431X2A,"Poisoning by monoamine-oxidase-inhibitor antidepressants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T431X2S,"Poisoning by monoamine-oxidase-inhibitor antidepressants, intentional self-harm, sequela"
Suicide or Self-Injury,T43202A,"Poisoning by unspecified antidepressants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T43202S,"Poisoning by unspecified antidepressants, intentional self-harm, sequela"
Suicide or Self-Injury,T43212A,"Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm, initial encounter"
Suicide or Self-Injury,T43212S,"Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm, sequela"
Suicide or Self-Injury,T43222A,"Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, initial encounter"
Suicide or Self-Injury,T43222S,"Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, sequela"
Suicide or Self-Injury,T43292A,"Poisoning by other antidepressants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T43292S,"Poisoning by other antidepressants, intentional self-harm, sequela"
Suicide or Self-Injury,T433X2A,"Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T433X2S,"Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm, sequela"
Suicide or Self-Injury,T434X2A,"Poisoning by butyrophenone and thiothixene neuroleptics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T434X2S,"Poisoning by butyrophenone and thiothixene neuroleptics, intentional self-harm, sequela"
Suicide or Self-Injury,T43502A,"Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T43502S,"Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, sequela"
Suicide or Self-Injury,T43592A,"Poisoning by other antipsychotics and neuroleptics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T43592S,"Poisoning by other antipsychotics and neuroleptics, intentional self-harm, sequela"
Suicide or Self-Injury,T43602A,"Poisoning by unspecified psychostimulants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T43602S,"Poisoning by unspecified psychostimulants, intentional self-harm, sequela"
Suicide or Self-Injury,T43612A,"Poisoning by caffeine, intentional self-harm, initial encounter"
Suicide or Self-Injury,T43612S,"Poisoning by caffeine, intentional self-harm, sequela"
Suicide or Self-Injury,T43622A,"Poisoning by amphetamines, intentional self-harm, initial encounter"
Suicide or Self-Injury,T43622S,"Poisoning by amphetamines, intentional self-harm, sequela"
Suicide or Self-Injury,T43632A,"Poisoning by methylphenidate, intentional self-harm, initial encounter"
Suicide or Self-Injury,T43632S,"Poisoning by methylphenidate, intentional self-harm, sequela"
Suicide or Self-Injury,T43642A,"Poisoning by ecstasy, intentional self-harm, initial encounter"
Suicide or Self-Injury,T43642S,"Poisoning by ecstasy, intentional self-harm, sequela"
Suicide or Self-Injury,T43692A,"Poisoning by other psychostimulants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T43692S,"Poisoning by other psychostimulants, intentional self-harm, sequela"
Suicide or Self-Injury,T438X2A,"Poisoning by other psychotropic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T438X2S,"Poisoning by other psychotropic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T4392XA,"Poisoning by unspecified psychotropic drug, intentional self-harm, initial encounter"
Suicide or Self-Injury,T4392XS,"Poisoning by unspecified psychotropic drug, intentional self-harm, sequela"
Suicide or Self-Injury,T440X2A,"Poisoning by anticholinesterase agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,T440X2S,"Poisoning by anticholinesterase agents, intentional self-harm, sequela"
Suicide or Self-Injury,T441X2A,"Poisoning by other parasympathomimetics [cholinergics], intentional self-harm, initial encounter"
Suicide or Self-Injury,T441X2S,"Poisoning by other parasympathomimetics [cholinergics], intentional self-harm, sequela"
Suicide or Self-Injury,T442X2A,"Poisoning by ganglionic blocking drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T442X2S,"Poisoning by ganglionic blocking drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T443X2A,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm, initial encounter"
Suicide or Self-Injury,T443X2S,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm, sequela"
Suicide or Self-Injury,T444X2A,"Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,T444X2S,"Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm, sequela"
Suicide or Self-Injury,T445X2A,"Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,T445X2S,"Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm, sequela"
Suicide or Self-Injury,T446X2A,"Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,T446X2S,"Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm, sequela"
Suicide or Self-Injury,T447X2A,"Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,T447X2S,"Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, sequela"
Suicide or Self-Injury,T448X2A,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,T448X2S,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, intentional self-harm, sequela"
Suicide or Self-Injury,T44902A,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm, initial encounter"
Suicide or Self-Injury,T44902S,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm, sequela"
Suicide or Self-Injury,T44992A,"Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm, initial encounter"
Suicide or Self-Injury,T44992S,"Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm, sequela"
Suicide or Self-Injury,T450X2A,"Poisoning by antiallergic and antiemetic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T450X2S,"Poisoning by antiallergic and antiemetic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T451X2A,"Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T451X2S,"Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T452X2A,"Poisoning by vitamins, intentional self-harm, initial encounter"
Suicide or Self-Injury,T452X2S,"Poisoning by vitamins, intentional self-harm, sequela"
Suicide or Self-Injury,T453X2A,"Poisoning by enzymes, intentional self-harm, initial encounter"
Suicide or Self-Injury,T453X2S,"Poisoning by enzymes, intentional self-harm, sequela"
Suicide or Self-Injury,T454X2A,"Poisoning by iron and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,T454X2S,"Poisoning by iron and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,T45512A,"Poisoning by anticoagulants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T45512S,"Poisoning by anticoagulants, intentional self-harm, sequela"
Suicide or Self-Injury,T45522A,"Poisoning by antithrombotic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T45522S,"Poisoning by antithrombotic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T45602A,"Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T45602S,"Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T45612A,"Poisoning by thrombolytic drug, intentional self-harm, initial encounter"
Suicide or Self-Injury,T45612S,"Poisoning by thrombolytic drug, intentional self-harm, sequela"
Suicide or Self-Injury,T45622A,"Poisoning by hemostatic drug, intentional self-harm, initial encounter"
Suicide or Self-Injury,T45622S,"Poisoning by hemostatic drug, intentional self-harm, sequela"
Suicide or Self-Injury,T45692A,"Poisoning by other fibrinolysis-affecting drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T45692S,"Poisoning by other fibrinolysis-affecting drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T457X2A,"Poisoning by anticoagulant antagonists, vitamin K and other coagulants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T457X2S,"Poisoning by anticoagulant antagonists, vitamin K and other coagulants, intentional self-harm, sequela"
Suicide or Self-Injury,T458X2A,"Poisoning by other primarily systemic and hematological agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,T458X2S,"Poisoning by other primarily systemic and hematological agents, intentional self-harm, sequela"
Suicide or Self-Injury,T4592XA,"Poisoning by unspecified primarily systemic and hematological agent, intentional self-harm, initial encounter"
Suicide or Self-Injury,T4592XS,"Poisoning by unspecified primarily systemic and hematological agent, intentional self-harm, sequela"
Suicide or Self-Injury,T460X2A,"Poisoning by cardiac-stimulant glycosides and drugs of similar action, intentional self-harm, initial encounter"
Suicide or Self-Injury,T460X2S,"Poisoning by cardiac-stimulant glycosides and drugs of similar action, intentional self-harm, sequela"
Suicide or Self-Injury,T461X2A,"Poisoning by calcium-channel blockers, intentional self-harm, initial encounter"
Suicide or Self-Injury,T461X2S,"Poisoning by calcium-channel blockers, intentional self-harm, sequela"
Suicide or Self-Injury,T462X2A,"Poisoning by other antidysrhythmic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T462X2S,"Poisoning by other antidysrhythmic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T463X2A,"Poisoning by coronary vasodilators, intentional self-harm, initial encounter"
Suicide or Self-Injury,T463X2S,"Poisoning by coronary vasodilators, intentional self-harm, sequela"
Suicide or Self-Injury,T464X2A,"Poisoning by angiotensin-converting-enzyme inhibitors, intentional self-harm, initial encounter"
Suicide or Self-Injury,T464X2S,"Poisoning by angiotensin-converting-enzyme inhibitors, intentional self-harm, sequela"
Suicide or Self-Injury,T465X2A,"Poisoning by other antihypertensive drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T465X2S,"Poisoning by other antihypertensive drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T466X2A,"Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T466X2S,"Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T467X2A,"Poisoning by peripheral vasodilators, intentional self-harm, initial encounter"
Suicide or Self-Injury,T467X2S,"Poisoning by peripheral vasodilators, intentional self-harm, sequela"
Suicide or Self-Injury,T468X2A,"Poisoning by antivaricose drugs, including sclerosing agents, intentional self-harm, initial encounter"
Suicide or Self-Injury,T468X2S,"Poisoning by antivaricose drugs, including sclerosing agents, intentional self-harm, sequela"
Suicide or Self-Injury,T46902A,"Poisoning by unspecified agents primarily affecting the cardiovascular system, intentional self-harm, initial encounter"
Suicide or Self-Injury,T46902S,"Poisoning by unspecified agents primarily affecting the cardiovascular system, intentional self-harm, sequela"
Suicide or Self-Injury,T46992A,"Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm, initial encounter"
Suicide or Self-Injury,T46992S,"Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm, sequela"
Suicide or Self-Injury,T470X2A,"Poisoning by histamine H2-receptor blockers, intentional self-harm, initial encounter"
Suicide or Self-Injury,T470X2S,"Poisoning by histamine H2-receptor blockers, intentional self-harm, sequela"
Suicide or Self-Injury,T471X2A,"Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T471X2S,"Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T472X2A,"Poisoning by stimulant laxatives, intentional self-harm, initial encounter"
Suicide or Self-Injury,T472X2S,"Poisoning by stimulant laxatives, intentional self-harm, sequela"
Suicide or Self-Injury,T473X2A,"Poisoning by saline and osmotic laxatives, intentional self-harm, initial encounter"
Suicide or Self-Injury,T473X2S,"Poisoning by saline and osmotic laxatives, intentional self-harm, sequela"
Suicide or Self-Injury,T474X2A,"Poisoning by other laxatives, intentional self-harm, initial encounter"
Suicide or Self-Injury,T474X2S,"Poisoning by other laxatives, intentional self-harm, sequela"
Suicide or Self-Injury,T475X2A,"Poisoning by digestants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T475X2S,"Poisoning by digestants, intentional self-harm, sequela"
Suicide or Self-Injury,T476X2A,"Poisoning by antidiarrheal drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,T476X2S,"Poisoning by antidiarrheal drugs, intentional self-harm, sequela"
Suicide or Self-Injury,T477X2A,"Poisoning by emetics, intentional self-harm, initial encounter"
