Mental_Health_Disorder_Group,ICD10_Code,Description
Substance-Related and Addictive Disorders,ICD10:F17.208,"Nicotine dependence, unspecified, with other nicotine-induced disorders"
Substance-Related and Addictive Disorders,ICD10:F17.209,"Nicotine dependence, unspecified, with unspecified nicotine-induced disorders"
Substance-Related and Addictive Disorders,ICD10:F17.210,"Nicotine dependence, cigarettes, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F17.211,"Nicotine dependence, cigarettes, in remission"
Substance-Related and Addictive Disorders,ICD10:F17.213,"Nicotine dependence, cigarettes, with withdrawal"
Substance-Related and Addictive Disorders,ICD10:F17.218,"Nicotine dependence, cigarettes, with other nicotine-induced disorders"
Substance-Related and Addictive Disorders,ICD10:F17.219,"Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders"
Substance-Related and Addictive Disorders,ICD10:F17.220,"Nicotine dependence, chewing tobacco, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F17.221,"Nicotine dependence, chewing tobacco, in remission"
Substance-Related and Addictive Disorders,ICD10:F17.223,"Nicotine dependence, chewing tobacco, with withdrawal"
Substance-Related and Addictive Disorders,ICD10:F17.228,"Nicotine dependence, chewing tobacco, with other nicotine-induced disorders"
Substance-Related and Addictive Disorders,ICD10:F17.229,"Nicotine dependence, chewing tobacco, with unspecified nicotine-induced disorders"
Substance-Related and Addictive Disorders,ICD10:F17.290,"Nicotine dependence, other tobacco product, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F17.291,"Nicotine dependence, other tobacco product, in remission"
Substance-Related and Addictive Disorders,ICD10:F17.293,"Nicotine dependence, other tobacco product, with withdrawal"
Substance-Related and Addictive Disorders,ICD10:F17.298,"Nicotine dependence, other tobacco product, with other nicotine-induced disorders"
Substance-Related and Addictive Disorders,ICD10:F17.299,"Nicotine dependence, other tobacco product, with unspecified nicotine-induced disorders"
Substance-Related and Addictive Disorders,ICD10:F18.10,"Inhalant abuse, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F18.120,"Inhalant abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F18.121,Inhalant abuse with intoxication delirium
Substance-Related and Addictive Disorders,ICD10:F18.129,"Inhalant abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F18.14,Inhalant abuse with inhalant-induced mood disorder
Substance-Related and Addictive Disorders,ICD10:F18.150,Inhalant abuse with inhalant-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F18.151,Inhalant abuse with inhalant-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F18.159,"Inhalant abuse with inhalant-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F18.17,Inhalant abuse with inhalant-induced dementia
Substance-Related and Addictive Disorders,ICD10:F18.180,Inhalant abuse with inhalant-induced anxiety disorder
Substance-Related and Addictive Disorders,ICD10:F18.188,Inhalant abuse with other inhalant-induced disorder
Substance-Related and Addictive Disorders,ICD10:F18.19,Inhalant abuse with unspecified inhalant-induced disorder
Substance-Related and Addictive Disorders,ICD10:F18.20,"Inhalant dependence, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F18.21,"Inhalant dependence, in remission"
Substance-Related and Addictive Disorders,ICD10:F18.220,"Inhalant dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F18.221,Inhalant dependence with intoxication delirium
Substance-Related and Addictive Disorders,ICD10:F18.229,"Inhalant dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F18.24,Inhalant dependence with inhalant-induced mood disorder
Substance-Related and Addictive Disorders,ICD10:F18.250,Inhalant dependence with inhalant-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F18.251,Inhalant dependence with inhalant-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F18.259,"Inhalant dependence with inhalant-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F18.27,Inhalant dependence with inhalant-induced dementia
Substance-Related and Addictive Disorders,ICD10:F18.280,Inhalant dependence with inhalant-induced anxiety disorder
Substance-Related and Addictive Disorders,ICD10:F18.288,Inhalant dependence with other inhalant-induced disorder
Substance-Related and Addictive Disorders,ICD10:F18.29,Inhalant dependence with unspecified inhalant-induced disorder
Substance-Related and Addictive Disorders,ICD10:F18.90,"Inhalant use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F18.920,"Inhalant use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F18.921,"Inhalant use, unspecified with intoxication with delirium"
Substance-Related and Addictive Disorders,ICD10:F18.929,"Inhalant use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F18.94,"Inhalant use, unspecified with inhalant-induced mood disorder"
Substance-Related and Addictive Disorders,ICD10:F18.950,"Inhalant use, unspecified with inhalant-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,ICD10:F18.951,"Inhalant use, unspecified with inhalant-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,ICD10:F18.959,"Inhalant use, unspecified with inhalant-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F18.97,"Inhalant use, unspecified with inhalant-induced persisting dementia"
Substance-Related and Addictive Disorders,ICD10:F18.980,"Inhalant use, unspecified with inhalant-induced anxiety disorder"
Substance-Related and Addictive Disorders,ICD10:F18.988,"Inhalant use, unspecified with other inhalant-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F18.99,"Inhalant use, unspecified with unspecified inhalant-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F19.10,"Other psychoactive substance abuse, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F19.120,"Other psychoactive substance abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F19.121,Other psychoactive substance abuse with intoxication delirium
Substance-Related and Addictive Disorders,ICD10:F19.122,Other psychoactive substance abuse with intoxication with perceptual disturbances
Substance-Related and Addictive Disorders,ICD10:F19.129,"Other psychoactive substance abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F19.14,Other psychoactive substance abuse with psychoactive substance-induced mood disorder
Substance-Related and Addictive Disorders,ICD10:F19.150,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F19.151,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F19.159,"Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F19.16,Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder
Substance-Related and Addictive Disorders,ICD10:F19.17,Other psychoactive substance abuse with psychoactive substance-induced persisting dementia
Substance-Related and Addictive Disorders,ICD10:F19.180,Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder
Substance-Related and Addictive Disorders,ICD10:F19.181,Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction
Substance-Related and Addictive Disorders,ICD10:F19.182,Other psychoactive substance abuse with psychoactive substance-induced sleep disorder
Substance-Related and Addictive Disorders,ICD10:F19.188,Other psychoactive substance abuse with other psychoactive substance-induced disorder
Substance-Related and Addictive Disorders,ICD10:F19.19,Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder
Substance-Related and Addictive Disorders,ICD10:F19.20,"Other psychoactive substance dependence, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F19.21,"Other psychoactive substance dependence, in remission"
Substance-Related and Addictive Disorders,ICD10:F19.220,"Other psychoactive substance dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F19.221,Other psychoactive substance dependence with intoxication delirium
Substance-Related and Addictive Disorders,ICD10:F19.222,Other psychoactive substance dependence with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,ICD10:F19.229,"Other psychoactive substance dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F19.230,"Other psychoactive substance dependence with withdrawal, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F19.231,Other psychoactive substance dependence with withdrawal delirium
Substance-Related and Addictive Disorders,ICD10:F19.232,Other psychoactive substance dependence with withdrawal with perceptual disturbance
Substance-Related and Addictive Disorders,ICD10:F19.239,"Other psychoactive substance dependence with withdrawal, unspecified"
Substance-Related and Addictive Disorders,ICD10:F19.24,Other psychoactive substance dependence with psychoactive substance-induced mood disorder
Substance-Related and Addictive Disorders,ICD10:F19.250,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F19.251,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F19.259,"Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F19.26,Other psychoactive substance dependence with psychoactive substance-induced persisting amnestic disorder
Substance-Related and Addictive Disorders,ICD10:F19.27,Other psychoactive substance dependence with psychoactive substance-induced persisting dementia
Substance-Related and Addictive Disorders,ICD10:F19.280,Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder
Substance-Related and Addictive Disorders,ICD10:F19.281,Other psychoactive substance dependence with psychoactive substance-induced sexual dysfunction
Substance-Related and Addictive Disorders,ICD10:F19.282,Other psychoactive substance dependence with psychoactive substance-induced sleep disorder
Substance-Related and Addictive Disorders,ICD10:F19.288,Other psychoactive substance dependence with other psychoactive substance-induced disorder
Substance-Related and Addictive Disorders,ICD10:F19.29,Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder
Substance-Related and Addictive Disorders,ICD10:F19.90,"Other psychoactive substance use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F19.920,"Other psychoactive substance use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F19.921,"Other psychoactive substance use, unspecified with intoxication with delirium"
Substance-Related and Addictive Disorders,ICD10:F19.922,"Other psychoactive substance use, unspecified with intoxication with perceptual disturbance"
Substance-Related and Addictive Disorders,ICD10:F19.929,"Other psychoactive substance use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F19.930,"Other psychoactive substance use, unspecified with withdrawal, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F19.931,"Other psychoactive substance use, unspecified with withdrawal delirium"
Substance-Related and Addictive Disorders,ICD10:F19.932,"Other psychoactive substance use, unspecified with withdrawal with perceptual disturbance"
Substance-Related and Addictive Disorders,ICD10:F19.939,"Other psychoactive substance use, unspecified with withdrawal, unspecified"
Substance-Related and Addictive Disorders,ICD10:F19.94,"Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder"
Substance-Related and Addictive Disorders,ICD10:F19.950,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,ICD10:F19.951,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,ICD10:F19.959,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F19.96,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting amnestic disorder"
Substance-Related and Addictive Disorders,ICD10:F19.97,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia"
Substance-Related and Addictive Disorders,ICD10:F19.980,"Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder"
Substance-Related and Addictive Disorders,ICD10:F19.981,"Other psychoactive substance use, unspecified with psychoactive substance-induced sexual dysfunction"
Substance-Related and Addictive Disorders,ICD10:F19.982,"Other psychoactive substance use, unspecified with psychoactive substance-induced sleep disorder"
Substance-Related and Addictive Disorders,ICD10:F19.988,"Other psychoactive substance use, unspecified with other psychoactive substance-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F19.99,"Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder"
Suicide or Self-Injury,ICD10:R45.851,Suicidal ideations
Suicide or Self-Injury,ICD10:T14.91,Suicide attempt
Suicide or Self-Injury,ICD10:T14.91XA,"Suicide attempt, initial encounter"
Suicide or Self-Injury,ICD10:T14.91XS,"Suicide attempt, sequela"
Suicide or Self-Injury,ICD10:T36.0X2A,"Poisoning by penicillins, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T36.0X2S,"Poisoning by penicillins, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T36.1X2A,"Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T36.1X2S,"Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T36.2X2A,"Poisoning by chloramphenicol group, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T36.2X2S,"Poisoning by chloramphenicol group, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T36.3X2A,"Poisoning by macrolides, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T36.3X2S,"Poisoning by macrolides, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T36.4X2A,"Poisoning by tetracyclines, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T36.4X2S,"Poisoning by tetracyclines, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T36.5X2A,"Poisoning by aminoglycosides, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T36.5X2S,"Poisoning by aminoglycosides, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T36.6X2A,"Poisoning by rifampicins, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T36.6X2S,"Poisoning by rifampicins, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T36.7X2A,"Poisoning by antifungal antibiotics, systemically used, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T36.7X2S,"Poisoning by antifungal antibiotics, systemically used, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T36.8X2A,"Poisoning by other systemic antibiotics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T36.8X2S,"Poisoning by other systemic antibiotics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T36.92XA,"Poisoning by unspecified systemic antibiotic, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T36.92XS,"Poisoning by unspecified systemic antibiotic, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T37.0X2A,"Poisoning by sulfonamides, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T37.0X2S,"Poisoning by sulfonamides, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T37.1X2A,"Poisoning by antimycobacterial drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T37.1X2S,"Poisoning by antimycobacterial drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T37.2X2A,"Poisoning by antimalarials and drugs acting on other blood protozoa, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T37.2X2S,"Poisoning by antimalarials and drugs acting on other blood protozoa, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T37.3X2A,"Poisoning by other antiprotozoal drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T37.3X2S,"Poisoning by other antiprotozoal drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T37.4X2A,"Poisoning by anthelminthics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T37.4X2S,"Poisoning by anthelminthics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T37.5X2A,"Poisoning by antiviral drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T37.5X2S,"Poisoning by antiviral drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T37.8X2A,"Poisoning by other specified systemic anti-infectives and antiparasitics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T37.8X2S,"Poisoning by other specified systemic anti-infectives and antiparasitics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T37.92XA,"Poisoning by unspecified systemic anti-infective and antiparasitics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T37.92XS,"Poisoning by unspecified systemic anti-infective and antiparasitics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T38.0X2A,"Poisoning by glucocorticoids and synthetic analogues, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T38.0X2S,"Poisoning by glucocorticoids and synthetic analogues, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T38.1X2A,"Poisoning by thyroid hormones and substitutes, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T38.1X2S,"Poisoning by thyroid hormones and substitutes, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T38.2X2A,"Poisoning by antithyroid drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T38.2X2S,"Poisoning by antithyroid drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T38.3X2A,"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T38.3X2S,"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T38.4X2A,"Poisoning by oral contraceptives, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T38.4X2S,"Poisoning by oral contraceptives, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T38.5X2A,"Poisoning by other estrogens and progestogens, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T38.5X2S,"Poisoning by other estrogens and progestogens, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T38.6X2A,"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T38.6X2S,"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T38.7X2A,"Poisoning by androgens and anabolic congeners, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T38.7X2S,"Poisoning by androgens and anabolic congeners, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T38.802A,"Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T38.802S,"Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T38.812A,"Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T38.812S,"Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T38.892A,"Poisoning by other hormones and synthetic substitutes, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T38.892S,"Poisoning by other hormones and synthetic substitutes, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T38.902A,"Poisoning by unspecified hormone antagonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T38.902S,"Poisoning by unspecified hormone antagonists, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T38.992A,"Poisoning by other hormone antagonists, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T38.992S,"Poisoning by other hormone antagonists, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T39.012A,"Poisoning by aspirin, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T39.012S,"Poisoning by aspirin, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T39.092A,"Poisoning by salicylates, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T39.092S,"Poisoning by salicylates, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T39.1X2A,"Poisoning by 4-Aminophenol derivatives, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T39.1X2S,"Poisoning by 4-Aminophenol derivatives, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T39.2X2A,"Poisoning by pyrazolone derivatives, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T39.2X2S,"Poisoning by pyrazolone derivatives, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T39.312A,"Poisoning by propionic acid derivatives, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T39.312S,"Poisoning by propionic acid derivatives, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T39.392A,"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T39.392S,"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T39.4X2A,"Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T39.4X2S,"Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T39.8X2A,"Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T39.8X2S,"Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T39.92XA,"Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T39.92XS,"Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T40.0X2A,"Poisoning by opium, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T40.0X2S,"Poisoning by opium, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T40.1X2A,"Poisoning by heroin, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T40.1X2S,"Poisoning by heroin, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T40.2X2A,"Poisoning by other opioids, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T40.2X2S,"Poisoning by other opioids, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T40.3X2A,"Poisoning by methadone, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T40.3X2S,"Poisoning by methadone, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T40.4X2A,"Poisoning by other synthetic narcotics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T40.4X2S,"Poisoning by other synthetic narcotics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T40.5X2A,"Poisoning by cocaine, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T40.5X2S,"Poisoning by cocaine, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T40.602A,"Poisoning by unspecified narcotics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T40.602S,"Poisoning by unspecified narcotics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T40.692A,"Poisoning by other narcotics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T40.692S,"Poisoning by other narcotics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T40.7X2A,"Poisoning by cannabis (derivatives), intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T40.7X2S,"Poisoning by cannabis (derivatives), intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T40.8X2A,"Poisoning by lysergide [LSD], intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T40.8X2S,"Poisoning by lysergide [LSD], intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T40.902A,"Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T40.902S,"Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T40.992A,"Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T40.992S,"Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T41.0X2A,"Poisoning by inhaled anesthetics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T41.0X2S,"Poisoning by inhaled anesthetics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T41.1X2A,"Poisoning by intravenous anesthetics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T41.1X2S,"Poisoning by intravenous anesthetics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T41.202A,"Poisoning by unspecified general anesthetics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T41.202S,"Poisoning by unspecified general anesthetics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T41.292A,"Poisoning by other general anesthetics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T41.292S,"Poisoning by other general anesthetics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T41.3X2A,"Poisoning by local anesthetics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T41.3X2S,"Poisoning by local anesthetics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T41.42XA,"Poisoning by unspecified anesthetic, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T41.42XS,"Poisoning by unspecified anesthetic, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T41.5X2A,"Poisoning by therapeutic gases, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T41.5X2S,"Poisoning by therapeutic gases, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T42.0X2A,"Poisoning by hydantoin derivatives, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T42.0X2S,"Poisoning by hydantoin derivatives, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T42.1X2A,"Poisoning by iminostilbenes, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T42.1X2S,"Poisoning by iminostilbenes, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T42.2X2A,"Poisoning by succinimides and oxazolidinediones, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T42.2X2S,"Poisoning by succinimides and oxazolidinediones, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T42.3X2A,"Poisoning by barbiturates, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T42.3X2S,"Poisoning by barbiturates, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T42.4X2A,"Poisoning by benzodiazepines, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T42.4X2S,"Poisoning by benzodiazepines, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T42.5X2A,"Poisoning by mixed antiepileptics, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T42.5X2S,"Poisoning by mixed antiepileptics, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T42.6X2A,"Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T42.6X2S,"Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T42.72XA,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T42.72XS,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T42.8X2A,"Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm, initial encounter"
